# E[eV], EF_E [erg/cm^3s]
5.168203312299588323e+08,4.133849338656988839e-09
5.711747999455739260e+08,4.063624153079757361e-09
6.312457780375243425e+08,3.993384791413000008e-09
6.976344760451073647e+08,3.923262860503474933e-09
7.710053343719943762e+08,3.853347609849909359e-09
8.520926732291187048e+08,3.783772711936461588e-09
9.417080419581581354e+08,3.714650090808618242e-09
1.040748341290118217e+09,3.646119299389450962e-09
1.150204799829307318e+09,3.578303540848954478e-09
1.271172894602371693e+09,3.511357356851190987e-09
1.404863314960582495e+09,3.445417924699361247e-09
1.552614079565784216e+09,3.380637581772464827e-09
1.715903927730893612e+09,3.317152846453057748e-09
1.896367119139962196e+09,3.255150625986121781e-09
2.095809790068382263e+09,3.194769858075379759e-09
2.316228029801805973e+09,3.136186318760877495e-09
2.559827858168609619e+09,3.079547878218981548e-09
2.829047304127821922e+09,3.025061022683378756e-09
3.126580806382379532e+09,2.972855765331366551e-09
3.455406180227312565e+09,2.923139224235740598e-09
3.818814420526087761e+09,2.876049855551472717e-09
4.220442639093337059e+09,2.831791247434260880e-09
4.664310466132394791e+09,2.790508391692542824e-09
5.154860280045388222e+09,2.752394469136551346e-09
5.697001668249450684e+09,2.717585506769071381e-09
6.296160563977745056e+09,2.686286826362358669e-09
6.958333550842968941e+09,2.658607317458267370e-09
7.690147878661709785e+09,2.634741954113975067e-09
8.498927791198051453e+09,2.614797533284525004e-09
9.392767829656984329e+09,2.598959257870389082e-09
1.038061384557342339e+10,2.587302532905812130e-09
1.147235253390115547e+10,2.579994538990609965e-09
1.267891038237902832e+10,2.577106644719543433e-09
1.401236302749268532e+10,2.578774136758980230e-09
1.548605611150334549e+10,2.585040052745473265e-09
1.711473885012115669e+10,2.596021548436219574e-09
1.891471164761334610e+10,2.611729238799913920e-09
2.090398923672900009e+10,2.632243911921511453e-09
2.310248097619923401e+10,2.657549779060898585e-09
2.553219011029128647e+10,2.687703112878983647e-09
2.821743398467260742e+10,2.722640508701171772e-09
3.118508742257958984e+10,2.762381965331321088e-09
3.446485169708163452e+10,2.806829848721997546e-09
3.808955179140473938e+10,2.855964828388243063e-09
4.209546492239669800e+10,2.909648466869682402e-09
4.652268361510639191e+10,2.967821244747784213e-09
5.141551696225000763e+10,3.030300006657631991e-09
5.682293408450389862e+10,3.096986079201072967e-09
6.279905422992317200e+10,3.167655473211651650e-09
6.940368841756654358e+10,3.242163574116133736e-09
7.670293804627819824e+10,3.320248698403676233e-09
8.476985645970489502e+10,3.401721520357048235e-09
9.368518008871292114e+10,3.486279925227125658e-09
1.035381364887251892e+11,3.573694760875330795e-09
1.144273373590860901e+11,3.663626003344457542e-09
1.264617654820929718e+11,3.755805130389100898e-09
1.397618654593121338e+11,3.849856355590084362e-09
1.544607491616330566e+11,3.945475149493772922e-09
1.707055279576142578e+11,4.042253728053407491e-09
1.886587850535046387e+11,4.139853629119511079e-09
2.085002026806179199e+11,4.237837961540673449e-09
2.304283604154974365e+11,4.335839851245859057e-09
2.546627226310614319e+11,4.433398459294291045e-09
2.814458349698140259e+11,4.530120818918721083e-09
3.110457518221564941e+11,4.625525615374247383e-09
3.437587191048232422e+11,4.719201075879822315e-09
3.799121391895860596e+11,4.810650600226145713e-09
4.198678476562379150e+11,4.899447610228014792e-09
