# E[eV], EF_E [erg/cm^3s]
1.477843680598852814e+02,7.793718384781331889e-13
1.633269857259728042e+02,7.958236646533772455e-13
1.805042347613018023e+02,8.121598640463319280e-13
1.994880308476900836e+02,8.283741804927499995e-13
2.204683701970446634e+02,8.444326797780573439e-13
2.436552310973094961e+02,8.603302924447672539e-13
2.692806754457475336e+02,8.760332192090152592e-13
2.976011713024077494e+02,8.915378723373383651e-13
3.289001597086698894e+02,9.068108946085385139e-13
3.634908914604577035e+02,9.218504539262865009e-13
4.017195622274895754e+02,9.366239238837887746e-13
4.439687773959016681e+02,9.511314741523424774e-13
4.906613813115522476e+02,9.653414725715962849e-13
5.422646892483534202e+02,9.792563012936982544e-13
5.992951644566082905e+02,9.928455531017322262e-13
6.623235871008056392e+02,1.006113989856778849e-12
7.319807668193533345e+02,1.019032619460252340e-12
8.089638560794626301e+02,1.031608700300268320e-12
8.940433275133551660e+02,1.043814797603865486e-12
9.880706850673412873e+02,1.055660728506793818e-12
1.091986986139507280e+03,1.067120704072129781e-12
1.206832259998460586e+03,1.078207106866617963e-12
1.333755916745807099e+03,1.088895826117118068e-12
1.474028250998789872e+03,1.099201762561715034e-12
1.629053155425773411e+03,1.109102461384000065e-12
1.800382171375932103e+03,1.118615243388440298e-12
1.989730017226569544e+03,1.127719238517065546e-12
2.198991749860961136e+03,1.136434042899043546e-12
2.430261731034612239e+03,1.144740259233748283e-12
2.685854588451634299e+03,1.152659573245076165e-12
2.968328381336782513e+03,1.160173916739408611e-12
3.280510202351977568e+03,1.167306845759294406e-12
3.625524472089862684e+03,1.174041454611346468e-12
4.006824209325278844e+03,1.180402925804029624e-12
4.428225589987748208e+03,1.186375334046422568e-12
4.893946140732839012e+03,1.191985229418003078e-12
5.408646949366481749e+03,1.197217475543580021e-12
5.977479314578408776e+03,1.202099725021528042e-12
6.606136301870809802e+03,1.206617434470511891e-12
7.300909721671424450e+03,1.210799095107336068e-12
8.068753099887032477e+03,1.214630560307470107e-12
8.917351271127878135e+03,1.218140902537482362e-12
9.855197291115444386e+03,1.221316178945868923e-12
1.089167743803868871e+04,1.224185796053909499e-12
1.203716515358103061e+04,1.226735828248713379e-12
1.330312486381134840e+04,1.228995781503916884e-12
1.470222671901335707e+04,1.230951570205367356e-12
1.624847340080831782e+04,1.232632579553708074e-12
1.795734026569906200e+04,1.234024398368888429e-12
1.984593022763941917e+04,1.235156086796244714e-12
2.193314492974551104e+04,1.236012756111519623e-12
2.423987391829308035e+04,1.236622954577963167e-12
2.678920371231792160e+04,1.236971178994319873e-12
2.960664886125793782e+04,1.237085297833602309e-12
3.272040730313974564e+04,1.236949074100603416e-12
3.616164257902009558e+04,1.236589634390439940e-12
3.996479572817905864e+04,1.235989788739445477e-12
4.416792998561738932e+04,1.235175622581855510e-12
4.881311173170568509e+04,1.234129080924351744e-12
5.394683150665831636e+04,1.232875214224095576e-12
5.962046930348588648e+04,1.231394983857293399e-12
6.589080879623442888e+04,1.229712304630119581e-12
7.282060565008140111e+04,1.227807107933359137e-12
8.047921560112513544e+04,1.225702113501332752e-12
8.894328859190341609e+04,1.223376206591623790e-12
9.829753590978123248e+04,1.220850879812622322e-12
1.086355780059867975e+05,1.218103983333786412e-12
1.200608814805551228e+05,1.215155778540718974e-12
1.326877946108365722e+05,1.211983119927279187e-12
1.466426917874913197e+05,1.208605063417229617e-12
1.620652383118659782e+05,1.204997538010572798e-12
1.791097882132734521e+05,1.201178453056891646e-12
1.979469290759983705e+05,1.197122916171450557e-12
2.187651893371761253e+05,1.192847786349656367e-12
2.417729251427598647e+05,1.188327491880104925e-12
2.672004056458587875e+05,1.183577979926749054e-12
2.953021176178192254e+05,1.178573184306460752e-12
3.263593124373681494e+05,1.173328326456599478e-12
3.606828209489432047e+05,1.167817078735334483e-12
3.986161643622579286e+05,1.162054175452339829e-12
4.405389923280299990e+05,1.156013313894173676e-12
4.868708825992895290e+05,1.149709036057075111e-12
5.380755403065577848e+05,1.143115407927103900e-12
5.946654388746483019e+05,1.136247131738774572e-12
6.572069490289532114e+05,1.129079044615995219e-12
7.263260072240234585e+05,1.121626417243865957e-12
8.027143802259935765e+05,1.113865315511524795e-12
8.871365885468859924e+05,1.105812034672091503e-12
9.804375580228595063e+05,1.097444371335777414e-12
1.083551076115969801e+06,1.088780132955170639e-12
1.197509137572942534e+06,1.079799371644936600e-12
1.323452272975465981e+06,1.070521897398373643e-12
1.462640963553598383e+06,1.060930529543309007e-12
1.616468256505580153e+06,1.051047528321916783e-12
1.786473707082413603e+06,1.040858924919929538e-12
1.974358786974276416e+06,1.030389769662374645e-12
2.182003913211083040e+06,1.019629608818901221e-12
2.411487268008148298e+06,1.008606429080157872e-12
2.665105597912300844e+06,9.973133604616165816e-13
2.945397200413285289e+06,9.857811781154444480e-13
3.255167328078192193e+06,9.740063272411817569e-13
3.597516264462029561e+06,9.620218293229892824e-13
3.975870352787575684e+06,9.498267482601493201e-13
4.394016287939994596e+06,9.374553460712746489e-13
4.856139014981991611e+06,9.249081389977139765e-13
5.366863613490619697e+06,9.122191664166483459e-13
5.931301586908215657e+06,8.993888173868493578e-13
6.555102020186899230e+06,8.864491246900718469e-13
7.244508117729486898e+06,8.733985635239797974e-13
8.006419687477580272e+06,8.602653400610052615e-13
8.848462196508536115e+06,8.470439241707818670e-13
9.779063089272998273e+06,8.337592731582550618e-13
1.080753613229152001e+07,8.203982552298119791e-13
1.194417462946035154e+07,8.069756071507592456e-13
1.320035444089655578e+07,7.934726854265102228e-13
1.458864783636960201e+07,7.799000088318724669e-13
1.612294932280290127e+07,7.662370116887869082e-13
1.781861470516922325e+07,7.524927920903657557e-13
1.969261477254810929e+07,7.386479936504957269e-13
2.176370514748705178e+07,7.247139374413289433e-13
2.405261399857596308e+07,7.106765827135384757e-13
2.658224949492537230e+07,6.965536348150847977e-13
2.937792907882258669e+07,6.823401086273867116e-13
3.246763285120363161e+07,6.680627536618180606e-13
3.588228360590777546e+07,6.537266566711768719e-13
3.965605631539185345e+07,6.393665683019488862e-13
4.382672016534119844e+07,6.249944863884604121e-13
4.843601656137462705e+07,6.106482279755673940e-13
5.353007689106167108e+07,5.963407139763356084e-13
5.915988422235465050e+07,5.821067674406457748e-13
6.538178355926869065e+07,5.679550393922560249e-13
7.225804576162026823e+07,5.539137751093847079e-13
7.985749077272203565e+07,5.399856417881395458e-13
8.825617639250679314e+07,5.261923432050296860e-13
9.753815948955300450e+07,5.125318644941785752e-13
1.077963372704782635e+08,4.990214067813142352e-13
1.191333770264066011e+08,4.856564214739367816e-13
1.316627436617260277e+08,4.724516087041191541e-13
1.455098352889883816e+08,4.594016295199514196e-13
1.608132382553676069e+08,4.465202236091153166e-13
1.777261141614024937e+08,4.338026634772392249e-13
1.964177327537745833e+08,4.212632265136953936e-13
2.170751660338261724e+08,4.088993823754193614e-13
2.399051605370273590e+08,3.967277297768771771e-13
2.651362065217921138e+08,3.847500470232563003e-13
2.930208247767835855e+08,3.729873803856371159e-13
3.238380939338414073e+08,3.614481264017391026e-13
3.578964435807311535e+08,3.501607913378415694e-13
3.955367411281258464e+08,3.391433232376025021e-13
4.371357033252207637e+08,3.284344088024526470e-13
4.831096665675781965e+08,3.180650784220167209e-13
5.339187537317104340e+08,3.080883933816586892e-13
5.900714792394797802e+08,2.985524462968633296e-13
6.521298384413516521e+08,2.895285972599074016e-13
7.207149322547521591e+08,2.810862424316321478e-13
7.965131833508123159e+08,2.733192865619004786e-13
8.802832061031743288e+08,2.663222361207989106e-13
9.728633990556193590e+08,2.602146571413835110e-13
1.075180335896494627e+09,2.551181975315085706e-13
1.188258038919611692e+09,2.511785999451001739e-13
1.313228227783556461e+09,2.485430897584517559e-13
1.451341646142408609e+09,2.473793763222200321e-13
1.603980579508626699e+09,2.478132404166218077e-13
1.772672689631059170e+09,2.498854158078742022e-13
1.959106303847184896e+09,2.538395735961210842e-13
2.165147312430582523e+09,2.598209421191350534e-13
2.392857843047927380e+09,2.679372269975696703e-13
2.644516899225790977e+09,2.782707010797567440e-13
2.922643169383934021e+09,2.908510299499710689e-13
3.230020234715561390e+09,3.056590751600547566e-13
3.569724428203518391e+09,3.226017821222444137e-13
3.945155623594746590e+09,3.415183671684680901e-13
4.360071262479508400e+09,3.621638721140960484e-13
4.818623960029729843e+09,3.842264011538185163e-13
5.325403065767366409e+09,4.073281598039259539e-13
5.885480595316992760e+09,4.310556618579605266e-13
