# E[eV], EF_E [erg/cm^3s]
4.215243677738660625e+14,4.939062817703073457e-13
4.658564725239003750e+14,4.906739101681935094e-13
5.148510254307223750e+14,4.873211478868897235e-13
5.689983804474598750e+14,4.838432615833745781e-13
6.288404625026755000e+14,4.802350621845848432e-13
6.949761912671966250e+14,4.764920521401152590e-13
7.680674753434841250e+14,4.726090946233329130e-13
8.488458368694046250e+14,4.685818560165443975e-13
9.381197328376510000e+14,4.644050334065717329e-13
1.036782646405067375e+15,4.600738871363648596e-13
1.145822029172387750e+15,4.555841780083817226e-13
1.266329183931748750e+15,4.509307354140577949e-13
1.399510186791838250e+15,4.461088978506831340e-13
1.546697957992956750e+15,4.411145914174745697e-13
1.709365602220804750e+15,4.359440549967408726e-13
1.889141151933298000e+15,4.305930994534439021e-13
2.087823861256609000e+15,4.250579553738167009e-13
2.307402213525213500e+15,4.193355330963308456e-13
2.550073822691440500e+15,4.134241032737586338e-13
2.818267427784574500e+15,4.073201416412567689e-13
3.114667200547371500e+15,4.010217659466977812e-13
3.442239609529044500e+15,3.945280882380018110e-13
3.804263109499578500e+15,3.878390209635404995e-13
4.204360953326966000e+15,3.809541670516428947e-13
4.646537454709766000e+15,3.738756650425831509e-13
5.135218064694474000e+15,3.666023606737083694e-13
5.675293663077040000e+15,3.591377649969866924e-13
6.272169507971765000e+15,3.514862645970443813e-13
6.931819333451237000e+15,3.436505089378290848e-13
7.660845136684826000e+15,3.356372222569476523e-13
8.466543252945325000e+15,3.274495667933003095e-13
9.356977379784762000e+15,3.190953897834440327e-13
1.034105928122980600e+16,3.105844428011839686e-13
1.142863797971143800e+16,3.019234206556250046e-13
1.263059832839189800e+16,2.931242902775769433e-13
1.395896995043361200e+16,2.842010345303157637e-13
1.542704763551108600e+16,2.751608100080223533e-13
1.704952439853456200e+16,2.660182779138959013e-13
1.884263853228158800e+16,2.567860923535777381e-13
2.082433612568920800e+16,2.474788117596185155e-13
2.301445067434381200e+16,2.381149967454230849e-13
2.543490158077124400e+16,2.287079758287196958e-13
2.810991353118474000e+16,2.192777915909694555e-13
3.106625894428649600e+16,2.098411668754305990e-13
3.433352591863289200e+16,2.004082457333567357e-13
3.794441436026954400e+16,1.910065273891265169e-13
4.193506325438186400e+16,1.816505846802967157e-13
4.634541235640563200e+16,1.723631213929092985e-13
5.121960192252326400e+16,1.631624766499441578e-13
5.660641448018421600e+16,1.540684988641767745e-13
6.255976306003580000e+16,1.450933997079884916e-13
6.913923077565471200e+16,1.362756409194981930e-13
7.641066715137451200e+16,1.276314310452766613e-13
8.444684716645728000e+16,1.191695631900802839e-13
9.332819961154745600e+16,1.109161571873224561e-13
1.031436120470411680e+17,1.028863136421991093e-13
1.139913204196668640e+17,9.510111030170557921e-14
1.259798922408587360e+17,8.757519124905664583e-14
1.392293131669009280e+17,8.032369362196278018e-14
1.538721878557056960e+17,7.336266279322527783e-14
1.700550671187987200e+17,6.670397623248549989e-14
1.879399146510985920e+17,6.035458767810623888e-14
2.077057280180138240e+17,5.434055194650909671e-14
