# E[eV], EF_E [erg/cm^3s]
3.191914065151189206e+01,2.475932512268390922e-08
3.527610597801711378e+01,2.592846055276260395e-08
3.898612642985899868e+01,2.709786691562145586e-08
4.308633313870052461e+01,2.826231902119180249e-08
4.761776235141083902e+01,2.941670753945326841e-08
5.262576613461679642e+01,3.055610470494867525e-08
5.816046627342875297e+01,3.167590661045847980e-08
6.427725590711297343e+01,3.277204417073472193e-08
7.103735392224736245e+01,3.384105654847296742e-08
7.850841765191479737e+01,3.488023635942101516e-08
8.676522001303318632e+01,3.588763640966889438e-08
9.589039785883940681e+01,3.686228570809053070e-08
1.059752790362926191e+02,3.780396079547571874e-08
1.171207964258624088e+02,3.871326400600832440e-08
1.294384981117213442e+02,3.959155253155232078e-08
1.430516637924642964e+02,4.044075651354646699e-08
1.580965386057665398e+02,4.126316844377321123e-08
1.747236967155170362e+02,4.206132235302707201e-08
1.930995483086589388e+02,4.283781473522846589e-08
2.134080050842733556e+02,4.359517297768598225e-08
2.358523209036791854e+02,4.433568432046515415e-08
2.606571260233912994e+02,4.506130977421628247e-08
2.880706752702310496e+02,4.577368278947955460e-08
3.183673326590728720e+02,4.647419866346062515e-08
3.518503173201225422e+02,4.716382843855144354e-08
3.888547382178883822e+02,4.784330236926634665e-08
4.297509480343291557e+02,4.851311238965387153e-08
4.749482497829793601e+02,4.917366843082251745e-08
5.248989932510769449e+02,4.982525572589966183e-08
5.801031022682757339e+02,5.046790730615277874e-08
6.411130781123625866e+02,5.110178749036327971e-08
7.085395291277437764e+02,5.172690848922224311e-08
7.830572818989954840e+02,5.234331420056942964e-08
8.654121351421338204e+02,5.295093335744946277e-08
9.564283239088380242e+02,5.354980982560131473e-08
1.057016768807884773e+03,5.414002098182208117e-08
1.168184192804764280e+03,5.472137615605395366e-08
1.291043196843500255e+03,5.529403274917556400e-08
1.426823395130849576e+03,5.585797874284956489e-08
1.576883721528573233e+03,5.641315655018146332e-08
1.742726030220279881e+03,5.695967094360667671e-08
1.926010126772874628e+03,5.749748172818774603e-08
2.128570380028571435e+03,5.802667155521958023e-08
2.352434081084805712e+03,5.854723036559431122e-08
2.599841733104940886e+03,5.905932843019007911e-08
2.873269475026969758e+03,5.956285028193747137e-08
3.175453863594288578e+03,6.005793343977598839e-08
3.509419261735361488e+03,6.054447299115452553e-08
3.878508107404430120e+03,6.102271001847268687e-08
4.286414365824001834e+03,6.149253794548392564e-08
4.737220499930354890e+03,6.195389626574451039e-08
5.235438329034806884e+03,6.240691952450894802e-08
5.786054184627830182e+03,6.285167708085022675e-08
6.394578815260580086e+03,6.328795794150841495e-08
7.067102539968631390e+03,6.371585627009833913e-08
7.810356202231871976e+03,6.413540716633406241e-08
8.631778534518420201e+03,6.454666749977425292e-08
9.539590607619391449e+03,6.494947203415625918e-08
1.054287810988855199e+04,6.534402801370688733e-08
1.165168227986517559e+04,6.573012529789382167e-08
1.287710040236435634e+04,6.610798479455144126e-08
1.423139687383330238e+04,6.647754575857609086e-08
1.572812594855324824e+04,6.683876023286374030e-08
1.738226739417201679e+04,6.719177609413199414e-08
1.921037641425347829e+04,6.753656821256217609e-08
2.123074933831929593e+04,6.787318107442167445e-08
2.346360673766427863e+04,6.820157868255981716e-08
2.593129579963037031e+04,6.852186722880618145e-08
2.865851398576869542e+04,6.883397864751946415e-08
3.167255621233576312e+04,6.913793844964317199e-08
3.500358802698969521e+04,6.943389858244942010e-08
3.868494751572993846e+04,6.972168236752179077e-08
4.275347896166748251e+04,7.000133781698969199e-08
4.724990159499394940e+04,7.027290034574796128e-08
5.221921712472346553e+04,7.053643583079568975e-08
5.771116013092223875e+04,7.079182996787413965e-08
6.378069582510201872e+04,7.103916434429792011e-08
7.048857016053159896e+04,7.127836879023599629e-08
7.790191779815444897e+04,7.150982480328481379e-08
8.609493401283996354e+04,7.173311602879218026e-08
9.514961726463267405e+04,7.194855379729978929e-08
1.051565898669005692e+05,7.215631595114747655e-08
1.162160049649067951e+05,7.235655181826523656e-08
1.284385489021501417e+05,7.254931178681423824e-08
1.419465490064931801e+05,7.273473806489595700e-08
1.568751978831760644e+05,7.291336298772876145e-08
1.733739064678485156e+05,7.308552040818298290e-08
1.916077993814335496e+05,7.325122834144826381e-08
2.117593675528335443e+05,7.341137760670273977e-08
2.340302946494834032e+05,7.356636339945624304e-08
2.586434755952840787e+05,7.371684711855517670e-08
2.858452473779162974e+05,7.386333535026022234e-08
3.159078544722126098e+05,7.400690773103182717e-08
3.491321735543631366e+05,7.414828336127766148e-08
3.858507247768216766e+05,7.428860221584379093e-08
4.264309997417543782e+05,7.442881624182922186e-08
4.712791394805107266e+05,7.457011931163807918e-08
5.208439992495772894e+05,7.471381514765285814e-08
5.756216408248472726e+05,7.486111698927894388e-08
6.361602972546073142e+05,7.501339350774682715e-08
7.030658597601512447e+05,7.517203892712640936e-08
7.770079416987706209e+05,7.533811468619304982e-08
8.587265802792995237e+05,7.551330065072216837e-08
9.490396431032351684e+05,7.569845544890591902e-08
1.048851013658587122e+06,7.589436190995012158e-08
1.159159637689634925e+06,7.610200028691678258e-08
1.281069520981688285e+06,7.632157193049604579e-08
1.415800778622062644e+06,7.655304009894075076e-08
1.564701846321961842e+06,7.679608028398486256e-08
1.729262976014303509e+06,7.704939010048696210e-08
1.911131150795954745e+06,7.731169603032091423e-08
2.112126568488133606e+06,7.758073552258226073e-08
2.334260858787997626e+06,7.785371570716365598e-08
2.579757216334781609e+06,7.812742985631706677e-08
2.851072651188988239e+06,7.839826211670096596e-08
3.150922579414904583e+06,7.866194291175008394e-08
3.482307999877257273e+06,7.891448057683340282e-08
