# E[eV], EF_E [erg/cm^3s]
6.087022301612983750e+14,2.559675618912931983e-09
6.727200025420571250e+14,2.634411503480751478e-09
7.434705828172570000e+14,2.715446819749051254e-09
8.216620665743845000e+14,2.803119226754367667e-09
9.080770204639461250e+14,2.898056498039884221e-09
1.003580314389537625e+15,3.001263378456872850e-09
1.109127777416533750e+15,3.113341839222345846e-09
1.225775764030632750e+15,3.235092675502626649e-09
1.354691726488612500e+15,3.367793552611308592e-09
1.497165899072903750e+15,3.511989649244841466e-09
1.654624211189952250e+15,3.668537751195787530e-09
1.828642558550996750e+15,3.838977191882814455e-09
2.020962575266005500e+15,4.024435233050338793e-09
2.233509064703255250e+15,4.226278019266524763e-09
2.468409263568377000e+15,4.445650451485311136e-09
2.728014132004295500e+15,4.684926699454511666e-09
3.014921882790532500e+15,4.945347401153028239e-09
3.332003985129972000e+15,5.228793207278106074e-09
3.682433903277806500e+15,5.537145682119466521e-09
4.069718857638422000e+15,5.872662783692528714e-09
4.497734926206029500e+15,6.236908171655449835e-09
4.970765837656030000e+15,6.634539660298444138e-09
5.493545844341379000e+15,7.068129428204000036e-09
6.071307104281417000e+15,7.538932960129228456e-09
6.709832046357894000e+15,8.051337083185905002e-09
7.415511242806751000e+15,8.606346289118017822e-09
8.195407368213036000e+15,9.207921945583341482e-09
9.057325885131926000e+15,9.861269632442152337e-09
1.000989316378157600e+16,1.056980821249301939e-08
1.106264281765562800e+16,1.133789377088896611e-08
1.222611111913143600e+16,1.216919818803957049e-08
1.351194245002539000e+16,1.306826705301771854e-08
1.493300584247987200e+16,1.404106204100256843e-08
1.650352377656248600e+16,1.509365197618111682e-08
1.823921452362683600e+16,1.623031242722157832e-08
2.015744946005534400e+16,1.745474497838974891e-08
2.227742692583286400e+16,1.877317701330551342e-08
2.462036436798584800e+16,2.019509532552214043e-08
2.720971069192387600e+16,2.172672502818318659e-08
3.007138094596626400e+16,2.337420162993888192e-08
3.323401568785605600e+16,2.514362721616647113e-08
3.672926762908840800e+16,2.704031708265738034e-08
4.059211842588578400e+16,2.907335594434242390e-08
4.486122878737159200e+16,3.124727724323517304e-08
4.957932540494112000e+16,3.356563796693954440e-08
5.479362857535004000e+16,3.603746917444493429e-08
6.055632479731572800e+16,3.866066762942694151e-08
6.692508907153650400e+16,4.143915796741490268e-08
7.396366213148446400e+16,4.437652958432710109e-08
8.174248838208966400e+16,4.746850487617153623e-08
9.033942093102196800e+16,5.071579354121359341e-08
9.984050076876006400e+16,5.409622577916870629e-08
1.103408178957429440e+17,5.761216072598363887e-08
1.219454630150560160e+17,6.127435122445871435e-08
1.347705793155093440e+17,6.505230242630363828e-08
1.489445248717082880e+17,6.893466263666533306e-08
1.646091572948072320e+17,7.291351328900224895e-08
1.819212534911607040e+17,7.699942825352180931e-08
2.010540787382986560e+17,8.115602668929653019e-08
2.221991207820590080e+17,8.536163287308839091e-08
2.455680063103096960e+17,8.957064444313852869e-08
2.713946189839718720e+17,9.378162309927323538e-08
2.999374402233066240e+17,9.793529875808796846e-08
3.314821361768513280e+17,1.019978302061158757e-07
3.663444167642475520e+17,1.059412638366629048e-07
4.048731954072309120e+17,1.096995946545372778e-07
4.474540810724312320e+17,1.132471018675587300e-07
4.945132375755128960e+17,1.165244587886467135e-07
5.465216487718912640e+17,1.194889705131202138e-07
6.039998323214485760e+17,1.221074563542755892e-07
6.675230492042311680e+17,1.243146196436087266e-07
7.377270611256968960e+17,1.260543372227649567e-07
8.153144934335340800e+17,1.273049537980479225e-07
9.010618672283216640e+17,1.279977658175692770e-07
9.958273710476830720e+17,1.281388519249593917e-07
1.100559449905624064e+18,1.276992126319928141e-07
1.216306297649029888e+18,1.266644082930379563e-07
1.344226347633967616e+18,1.250708192236499977e-07
1.485599866716108800e+18,1.228851000910758647e-07
1.641841768591704064e+18,1.201317008951362696e-07
1.814515774729434624e+18,1.167837074351533477e-07
2.005350064620477184e+18,1.128512380392294696e-07
2.216254571979667456e+18,1.084567219033708126e-07
2.449340100004123136e+18,1.035847287220751430e-07
2.706939447001059840e+18,9.827978188304345808e-08
2.991630753817340928e+18,9.264490083875347943e-08
3.306263306739656704e+18,8.667558206295170749e-08
3.653986054109285888e+18,8.045830370922692585e-08
4.038279122055577600e+18,7.414399376956073952e-08
4.462988644767889920e+18,6.776191527630377951e-08
4.932365257899308032e+18,6.138710794708689773e-08
5.451106640357015552e+18,5.510561448681328697e-08
6.024404530251608064e+18,4.900275120175773785e-08
6.657996685557269504e+18,4.314651273296112678e-08
7.358224309521956864e+18,3.758892055837935973e-08
8.132095515560911872e+18,3.237873780235570526e-08
8.987355466811322368e+18,2.755659758775146084e-08
9.932563892328075264e+18,2.316203892106938874e-08
1.097718075572922368e+19,1.921899491520891491e-08
1.213166093369161523e+19,1.572281673030861965e-08
1.340755885187040256e+19,1.267158579776524541e-08
1.481764412547491226e+19,1.005110605682367429e-08
1.637602936186935296e+19,7.830742902702470078e-09
1.809831140429088154e+19,5.996712096113892984e-09
2.000172743029914419e+19,4.505987128694083958e-09
2.210532746724252058e+19,3.316808276053575928e-09
2.443016505133527859e+19,2.389760293540924948e-09
2.699950793852384870e+19,1.683958358836140933e-09
2.983907097600908083e+19,1.158820481708388738e-09
3.297727346508041011e+19,7.774892182509043745e-10
3.644552359103453594e+19,5.079192504151597868e-10
4.027853276685136691e+19,3.228123030673641280e-10
4.451466303668124877e+19,1.992028976443743236e-10
4.919631101607700890e+19,1.191749015608458705e-10
5.437033221157298995e+19,6.906619770232131373e-11
6.008850996634195558e+19,3.866947719360552161e-11
6.640807372529993318e+19,2.089265337009179395e-11
7.339227180662512026e+19,1.087373160748360081e-11
8.111100441218516582e+19,5.446424306293834910e-12
8.964152321225274163e+19,2.620224453599419548e-12
9.906920450618461389e+19,1.209163984775497636e-12
1.094884036971243110e+20,5.348982671913958189e-13
1.210033996325881610e+20,2.262852171006558340e-13
1.337294382622216684e+20,9.127746771904317970e-14
1.477938860580003512e+20,3.505347915160882142e-14
1.633375047406875771e+20,1.279691576547701991e-14
1.805158600704513802e+20,4.432804695799417156e-15
1.995008788012762071e+20,1.455180167595791854e-15
2.204825693817044337e+20,4.518953707160287819e-16
2.436709236232562934e+20,1.319938069591936019e-16
2.692980183690545725e+20,3.592100015657389377e-17
2.976203381968811459e+20,9.036696539871932919e-18
3.289213424030323180e+20,2.083415061554758675e-18
3.635143019582329324e+20,4.366177091111392472e-19
4.017454348288089784e+20,8.254604218133865383e-20
4.439973710424541757e+20,1.396540307391490461e-20
4.906929821781637202e+20,2.101319809309376777e-21
5.422996136071194214e+20,2.803751091415485038e-22
5.993337618422478930e+20,3.321042496407778081e-23
6.623662438089295135e+20,3.548917230658752733e-24
7.320279097726313431e+20,3.445821388011152889e-25
8.090159571004175155e+20,3.090328810231053124e-26
8.941009080465183212e+20,2.562220217669005388e-27
9.881343213980389212e+20,1.910171053727840949e-28
1.092057315161529123e+21,1.253251662518064598e-29
1.206909985588291305e+21,6.973052677307071316e-31
1.333841816807280738e+21,3.170045422984910087e-32
1.474123185248594297e+21,1.136930797512993331e-33
1.629158073997783466e+21,3.109317307756886568e-35
1.800498124330486727e+21,6.260818039658766495e-37
1.989858165059801317e+21,8.935900013296546194e-39
2.199133375119467479e+21,8.668184878781925756e-41
2.430418251151582953e+21,5.454522373040082825e-43
2.686027569932998803e+21,2.115114406350076081e-45
2.968519555439357592e+21,4.778641792829115442e-48
3.280721482410421125e+21,5.918142532290955745e-51
3.625757972666029441e+21,3.760205331724909183e-54
4.007082267371420778e+21,1.140459369787917195e-57
4.428510788235510678e+21,1.526175395965131102e-61
4.894261333542157943e+21,8.266230216188263237e-66
5.408995291292917301e+21,1.648036853191083860e-70
5.977864291945057092e+21,1.089272076284133283e-75
6.606561767660558746e+21,2.126377303892050404e-81
7.301379934088877572e+21,1.079045868736084347e-87
8.069272764976128328e+21,1.223013386461587416e-94
8.917925589871469003e+21,0.000000000000000000e+00
9.855832011488574308e+21,0.000000000000000000e+00
1.089237891253620284e+22,0.000000000000000000e+00
1.203794040279543264e+22,0.000000000000000000e+00
1.330398164669737782e+22,0.000000000000000000e+00
1.470317361054207915e+22,0.000000000000000000e+00
1.624951987778844466e+22,0.000000000000000000e+00
1.795849680162396517e+22,0.000000000000000000e+00
1.984720839750930190e+22,0.000000000000000000e+00
2.193455752591408366e+22,0.000000000000000000e+00
2.424143507849752871e+22,0.000000000000000000e+00
2.679092906117435700e+22,0.000000000000000000e+00
2.960855566663765354e+22,0.000000000000000000e+00
3.272251464899178686e+22,0.000000000000000000e+00
3.616397155637012935e+22,0.000000000000000000e+00
3.996736964621509643e+22,0.000000000000000000e+00
4.417077460497637520e+22,0.000000000000000000e+00
4.881625552229431352e+22,0.000000000000000000e+00
5.395030593258929730e+22,0.000000000000000000e+00
5.962430913798185209e+22,0.000000000000000000e+00
6.589505246964948035e+22,0.000000000000000000e+00
7.282529563452560009e+22,0.000000000000000000e+00
8.048439883553923557e+22,0.000000000000000000e+00
8.894901695183929213e+22,0.000000000000000000e+00
9.830386672659070557e+22,0.000000000000000000e+00
1.086425746406121333e+23,0.000000000000000000e+00
1.200686139576675499e+23,0.000000000000000000e+00
1.326963403196661613e+23,0.000000000000000000e+00
1.466521362563637057e+23,0.000000000000000000e+00
1.620756760642006727e+23,0.000000000000000000e+00
1.791213237136035383e+23,0.000000000000000000e+00
1.979596777754887979e+23,0.000000000000000000e+00
2.187792788290966095e+23,0.000000000000000000e+00
2.417884964394803302e+23,0.000000000000000000e+00
2.672176145901512441e+23,0.000000000000000000e+00
2.953211364425814445e+23,0.000000000000000000e+00
3.263803314893917793e+23,0.000000000000000000e+00
3.607060505939657653e+23,0.000000000000000000e+00
3.986418370903733069e+23,0.000000000000000000e+00
4.405673650805314337e+23,0.000000000000000000e+00
