# E[eV], EF_E [erg/cm^3s]
8.216620665743845000e+14,2.394774256312853482e-14
9.080770204639461250e+14,2.484650811258698598e-14
1.003580314389537625e+15,2.582918388972622647e-14
1.109127777416533750e+15,2.690196697426185116e-14
1.225775764030632750e+15,2.807406143217476311e-14
1.354691726488612500e+15,2.935581836099143656e-14
1.497165899072903750e+15,3.075863735980374293e-14
1.654624211189952250e+15,3.229443660068082172e-14
1.828642558550996750e+15,3.397754610188181269e-14
2.020962575266005500e+15,3.582276494779315988e-14
2.233509064703255250e+15,3.785139402334510077e-14
2.468409263568377000e+15,4.007646579256230715e-14
2.728014132004295500e+15,4.251728252104649819e-14
3.014921882790532500e+15,4.519784175674405205e-14
3.332003985129972000e+15,4.814274844183057487e-14
3.682433903277806500e+15,5.137860299409428764e-14
4.069718857638422000e+15,5.493394390887961940e-14
4.497734926206029500e+15,5.884071857744538914e-14
4.970765837656030000e+15,6.313137288988280884e-14
5.493545844341379000e+15,6.784705613024619480e-14
6.071307104281417000e+15,7.303165428150771297e-14
6.709832046357894000e+15,7.871644601171989872e-14
7.415511242806751000e+15,8.496952807856085223e-14
8.195407368213036000e+15,9.183580351086773085e-14
9.057325885131926000e+15,9.936655095292834756e-14
1.000989316378157600e+16,1.076303147002755221e-13
1.106264281765562800e+16,1.167087740046131532e-13
1.222611111913143600e+16,1.266693677579698428e-13
1.351194245002539000e+16,1.376069864564430040e-13
1.493300584247987200e+16,1.496198009995405440e-13
1.650352377656248600e+16,1.628001176012553637e-13
1.823921452362683600e+16,1.772812248564168172e-13
2.015744946005534400e+16,1.931756969696026794e-13
2.227742692583286400e+16,2.105763720782685265e-13
2.462036436798584800e+16,2.296702754392385871e-13
2.720971069192387600e+16,2.505841286258370487e-13
3.007138094596626400e+16,2.734892413038353267e-13
3.323401568785605600e+16,2.985508223621341500e-13
3.672926762908840800e+16,3.258970276855833275e-13
4.059211842588578400e+16,3.557760469840475520e-13
4.486122878737159200e+16,3.883689958558972958e-13
4.957932540494112000e+16,4.238828832279034548e-13
5.479362857535004000e+16,4.625445619826338420e-13
6.055632479731572800e+16,5.044609850276233051e-13
6.692508907153650400e+16,5.499584631028881784e-13
7.396366213148446400e+16,5.992988820900831371e-13
8.174248838208966400e+16,6.528622979512207642e-13
9.033942093102196800e+16,7.108619818357757408e-13
9.984050076876006400e+16,7.735391468226743296e-13
1.103408178957429440e+17,8.410885001371962109e-13
1.219454630150560160e+17,9.141012107855956868e-13
1.347705793155093440e+17,9.929597491181480187e-13
1.489445248717082880e+17,1.077932056580812476e-12
1.646091572948072320e+17,1.169453820874066742e-12
1.819212534911607040e+17,1.268022053047300111e-12
2.010540787382986560e+17,1.374024438005201339e-12
2.221991207820590080e+17,1.487939067286445559e-12
2.455680063103096960e+17,1.610231300309867026e-12
2.713946189839718720e+17,1.741086227132152185e-12
2.999374402233066240e+17,1.881172813937075821e-12
3.314821361768513280e+17,2.030963168203673129e-12
3.663444167642475520e+17,2.190219589117552188e-12
4.048731954072309120e+17,2.359632674046473247e-12
4.474540810724312320e+17,2.538710813787911589e-12
4.945132375755128960e+17,2.728012903791491251e-12
5.465216487718912640e+17,2.927010635866682635e-12
6.039998323214485760e+17,3.136096127863762814e-12
6.675230492042311680e+17,3.352785772148963973e-12
7.377270611256968960e+17,3.576810756016719937e-12
8.153144934335340800e+17,3.806059172876199206e-12
9.010618672283216640e+17,4.037411400700862560e-12
9.958273710476830720e+17,4.267297586923835203e-12
1.100559449905624064e+18,4.491236327750136485e-12
1.216306297649029888e+18,4.703732801181443522e-12
1.344226347633967616e+18,4.899133319129611726e-12
1.485599866716108800e+18,5.070565838753145399e-12
1.641841768591704064e+18,5.211286671016745890e-12
1.814515774729434624e+18,5.315325670157597915e-12
2.005350064620477184e+18,5.378921467477564083e-12
2.216254571979667456e+18,5.398156627390543249e-12
2.449340100004123136e+18,5.373166593294537782e-12
2.706939447001059840e+18,5.306608830106035138e-12
2.991630753817340928e+18,5.201896285004789645e-12
3.306263306739656704e+18,5.066965463139744205e-12
3.653986054109285888e+18,4.909900970704554545e-12
4.038279122055577600e+18,4.737048342130984942e-12
4.462988644767889920e+18,4.558119423938114200e-12
4.932365257899308032e+18,4.380338444511551832e-12
5.451106640357015552e+18,4.209654263057150952e-12
6.024404530251608064e+18,4.045272963430629365e-12
6.657996685557269504e+18,3.890740396196653299e-12
7.358224309521956864e+18,3.746734820413585304e-12
8.132095515560911872e+18,3.611155829263605276e-12
8.987355466811322368e+18,3.479051562240883550e-12
9.932563892328075264e+18,3.349333331045681473e-12
1.097718075572922368e+19,3.218911258554033828e-12
1.213166093369161523e+19,3.083060280327258168e-12
1.340755885187040256e+19,2.937443969384282862e-12
1.481764412547491226e+19,2.778610637840021291e-12
1.637602936186935296e+19,2.603730769342555045e-12
1.809831140429088154e+19,2.412711289789502712e-12
2.000172743029914419e+19,2.206449795116215036e-12
2.210532746724252058e+19,1.987971428477903175e-12
2.443016505133527859e+19,1.762587449233907572e-12
2.699950793852384870e+19,1.535920391706142535e-12
2.983907097600908083e+19,1.314873187538961754e-12
3.297727346508041011e+19,1.105802547177894668e-12
3.644552359103453594e+19,9.136379371288775759e-13
4.027853276685136691e+19,7.427875245557985519e-13
4.451466303668124877e+19,5.950552428497022271e-13
4.919631101607700890e+19,4.703968986248373971e-13
5.437033221157298995e+19,3.678684380890854614e-13
6.008850996634195558e+19,2.853789263193542656e-13
6.640807372529993318e+19,2.203307917239447930e-13
7.339227180662512026e+19,1.689310071233087740e-13
8.111100441218516582e+19,1.242797144809772686e-13
8.964152321225274163e+19,8.617357459066553563e-14
9.906920450618461389e+19,5.888328648604258521e-14
1.094884036971243110e+20,3.987443761456201336e-14
1.210033996325881610e+20,2.669939968313079329e-14
1.337294382622216684e+20,1.762744011545236510e-14
1.477938860580003512e+20,1.143808615701710901e-14
1.633375047406875771e+20,7.273005376672168448e-15
1.805158600704513802e+20,4.519942802992264713e-15
1.995008788012762071e+20,2.770699908187664502e-15
2.204825693817044337e+20,1.737170505226303774e-15
2.436709236232562934e+20,1.072355273096677821e-15
2.692980183690545725e+20,6.517280958108491108e-16
2.976203381968811459e+20,3.898001753357681539e-16
3.289213424030323180e+20,2.289994123022535557e-16
3.635143019582329324e+20,1.315633129537949052e-16
4.017454348288089784e+20,7.358167859929328666e-17
4.439973710424541757e+20,4.005828877774015601e-17
4.906929821781637202e+20,2.126094203970521379e-17
5.422996136071194214e+20,1.097595654989001617e-17
5.993337618422478930e+20,5.492848012203393384e-18
6.623662438089295135e+20,2.660448543191016952e-18
7.320279097726313431e+20,1.247688479048498912e-18
8.090159571004175155e+20,5.649585956991561005e-19
8.941009080465183212e+20,2.464742604261203156e-19
9.881343213980389212e+20,1.033768252589141481e-19
1.092057315161529123e+21,4.157666144033298553e-20
1.206909985588291305e+21,1.600674661734019716e-20
1.333841816807280738e+21,5.890806640628656308e-21
1.474123185248594297e+21,2.054781923234562595e-21
1.629158073997783466e+21,6.755309893855173459e-22
1.800498124330486727e+21,2.093632383590939442e-22
1.989858165059801317e+21,6.078733261402137807e-23
2.199133375119467479e+21,1.645931269546364285e-23
2.430418251151582953e+21,4.129555703848336694e-24
2.686027569932998803e+21,9.538047247191940659e-25
2.968519555439357592e+21,2.012167913069781249e-25
3.280721482410421125e+21,3.830625780370223650e-26
3.625757972666029441e+21,6.550768619670106980e-27
4.007082267371420778e+21,9.981040215609117381e-28
4.428510788235510678e+21,1.338608339063219067e-28
4.894261333542157943e+21,1.563760739832684665e-29
5.408995291292917301e+21,1.562893115130937912e-30
5.977864291945057092e+21,1.348215670946583374e-31
6.606561767660558746e+21,9.712679867101874405e-33
7.301379934088877572e+21,6.006682481750258202e-34
8.069272764976128328e+21,3.265246151767718684e-35
8.917925589871469003e+21,1.690845704589806751e-36
9.855832011488574308e+21,9.098712608816118921e-38
1.089237891253620284e+22,5.089963059735271854e-39
1.203794040279543264e+22,2.769506685189133172e-40
1.330398164669737782e+22,1.363815420194722272e-41
1.470317361054207915e+22,5.966956499767144957e-43
1.624951987778844466e+22,2.296546822646907167e-44
1.795849680162396517e+22,7.951743493212469654e-46
1.984720839750930190e+22,2.560711933008983733e-47
2.193455752591408366e+22,7.934793329511927289e-49
2.424143507849752871e+22,2.152312389682036581e-50
2.679092906117435700e+22,4.738614845520063507e-52
2.960855566663765354e+22,7.873259822246811662e-54
3.272251464899178686e+22,9.344851851361209244e-56
3.616397155637012935e+22,7.614943829192016617e-58
3.996736964621509643e+22,4.026890603390293396e-60
4.417077460497637520e+22,1.258424018356464747e-62
4.881625552229431352e+22,0.000000000000000000e+00
5.395030593258929730e+22,0.000000000000000000e+00
5.962430913798185209e+22,0.000000000000000000e+00
6.589505246964948035e+22,0.000000000000000000e+00
7.282529563452560009e+22,0.000000000000000000e+00
8.048439883553923557e+22,0.000000000000000000e+00
8.894901695183929213e+22,0.000000000000000000e+00
9.830386672659070557e+22,0.000000000000000000e+00
1.086425746406121333e+23,0.000000000000000000e+00
1.200686139576675499e+23,0.000000000000000000e+00
1.326963403196661613e+23,0.000000000000000000e+00
1.466521362563637057e+23,0.000000000000000000e+00
1.620756760642006727e+23,0.000000000000000000e+00
1.791213237136035383e+23,0.000000000000000000e+00
1.979596777754887979e+23,0.000000000000000000e+00
2.187792788290966095e+23,0.000000000000000000e+00
2.417884964394803302e+23,0.000000000000000000e+00
2.672176145901512441e+23,0.000000000000000000e+00
2.953211364425814445e+23,0.000000000000000000e+00
3.263803314893917793e+23,0.000000000000000000e+00
3.607060505939657653e+23,0.000000000000000000e+00
3.986418370903733069e+23,0.000000000000000000e+00
4.405673650805314337e+23,0.000000000000000000e+00
